,time(ms),a_x, a_y, a_z
,66,-0.080000, -0.076923, 0.960000
,76,-0.080000, -0.076923, 0.920000
,90,-0.040000, -0.076923, 0.960000
,97,-0.040000, -0.076923, 0.920000
,107,0.000000, -0.038462, 0.920000
,121,0.000000, -0.038462, 0.960000
,131,0.000000, -0.038462, 0.960000
,138,0.000000, 0.000000, 1.000000
,146,0.000000, 0.000000, 1.040000
,160,0.000000, 0.000000, 1.040000
,170,-0.040000, 0.000000, 1.000000
,178,-0.040000, -0.038462, 1.000000
,191,-0.080000, -0.038462, 0.960000
,201,-0.080000, -0.038462, 0.920000
,211,-0.080000, -0.038462, 0.920000
,222,-0.040000, -0.038462, 0.960000
,232,-0.040000, -0.038462, 0.960000
,240,-0.040000, -0.038462, 0.960000
,250,-0.040000, 0.000000, 0.960000
,263,-0.080000, 0.000000, 1.000000
,271,-0.040000, 0.038462, 1.040000
,281,-0.040000, 0.038462, 1.040000
,295,-0.040000, 0.038462, 1.040000
,303,-0.040000, 0.038462, 1.040000
,312,-0.040000, 0.000000, 1.000000
,320,-0.040000, 0.000000, 0.960000
,336,-0.080000, 0.000000, 0.920000
,344,-0.040000, 0.000000, 0.880000
,351,0.000000, 0.000000, 0.840000
,361,0.000000, 0.038462, 0.800000
,375,-0.040000, 0.076923, 0.840000
,383,-0.040000, 0.076923, 0.880000
,392,0.000000, 0.115385, 0.920000
,406,-0.040000, 0.115385, 0.920000
,416,-0.040000, 0.115385, 0.960000
,424,-0.040000, 0.153846, 1.000000
,437,0.000000, 0.153846, 1.040000
,445,0.000000, 0.192308, 1.000000
,455,0.040000, 0.192308, 1.000000
,463,0.040000, 0.230769, 0.960000
,476,0.040000, 0.192308, 0.920000
,486,0.040000, 0.192308, 0.880000
,494,0.000000, 0.230769, 0.880000
,504,0.000000, 0.230769, 0.840000
,517,0.000000, 0.230769, 0.880000
,525,0.000000, 0.269231, 0.920000
,535,0.040000, 0.346154, 0.960000
,549,0.000000, 0.346154, 1.040000
,558,0.000000, 0.384615, 1.040000
,566,0.040000, 0.384615, 1.040000
,574,0.040000, 0.384615, 1.000000
,588,0.040000, 0.384615, 1.000000
,597,0.040000, 0.384615, 0.920000
,605,0.040000, 0.384615, 0.920000
,619,0.040000, 0.384615, 0.920000
,629,0.040000, 0.423077, 0.920000
,637,0.040000, 0.423077, 0.960000
,650,0.040000, 0.461538, 1.000000
,660,0.040000, 0.461538, 0.960000
,668,0.040000, 0.461538, 0.960000
,678,0.040000, 0.461538, 0.920000
,691,0.040000, 0.461538, 0.920000
,699,0.040000, 0.461538, 0.880000
,709,0.040000, 0.423077, 0.880000
,717,0.040000, 0.423077, 0.880000
,730,0.040000, 0.461538, 0.840000
,740,0.040000, 0.461538, 0.840000
,748,0.040000, 0.461538, 0.840000
,762,0.040000, 0.461538, 0.840000
,771,0.040000, 0.461538, 0.800000
,779,0.040000, 0.500000, 0.840000
,793,0.040000, 0.500000, 0.840000
,803,0.080000, 0.500000, 0.840000
,810,0.080000, 0.538462, 0.880000
,820,0.040000, 0.500000, 0.920000
,834,0.040000, 0.500000, 0.960000
,842,0.000000, 0.500000, 1.000000
,851,-0.040000, 0.500000, 0.920000
,865,0.000000, 0.461538, 0.880000
,873,0.040000, 0.461538, 0.800000
,883,0.040000, 0.461538, 0.720000
,890,0.080000, 0.500000, 0.720000
,904,0.080000, 0.538462, 0.800000
,914,0.040000, 0.576923, 0.920000
,928,0.080000, 0.500000, 0.800000
,939,0.040000, 0.538462, 0.880000
,941,0.040000, 0.500000, 0.840000
,961,0.040000, 0.500000, 0.840000
,971,-0.040000, 0.500000, 0.880000
,972,-0.040000, 0.500000, 0.840000
,984,0.000000, 0.500000, 0.840000
,994,0.040000, 0.500000, 0.800000
,1002,0.080000, 0.538462, 0.800000
,1015,0.080000, 0.538462, 0.800000
,1025,0.080000, 0.538462, 0.880000
,1033,0.040000, 0.538462, 0.920000
,1047,0.040000, 0.538462, 0.960000
,1056,0.040000, 0.538462, 0.960000
,1064,0.000000, 0.500000, 1.000000
,1078,0.000000, 0.500000, 1.000000
,1088,-0.040000, 0.500000, 0.960000
,1096,-0.040000, 0.461538, 0.960000
,1105,0.000000, 0.461538, 1.000000
,1119,-0.040000, 0.461538, 1.000000
,1127,0.000000, 0.461538, 1.000000
,1137,0.000000, 0.423077, 1.000000
,1150,0.000000, 0.423077, 1.040000
,1158,0.000000, 0.384615, 1.080000
,1168,0.000000, 0.346154, 1.040000
,1176,0.000000, 0.307692, 1.000000
,1189,-0.040000, 0.269231, 0.920000
