,time(ms),a_x, a_y, a_z
,59,0.000000, 0.000000, -1.000000
,82,0.000000, -0.038462, -1.000000
,90,0.000000, -0.038462, -1.000000
,100,0.000000, 0.000000, -1.000000
,111,0.000000, -0.038462, -1.000000
,121,0.000000, -0.038462, -1.000000
,129,0.000000, -0.038462, -1.000000
,144,0.000000, -0.038462, -1.000000
,152,0.000000, -0.038462, -1.000000
,160,0.000000, -0.038462, -1.000000
,170,0.000000, 0.000000, -1.000000
,184,0.000000, -0.038462, -1.000000
,191,0.000000, -0.038462, -1.040000
,201,0.000000, -0.038462, -1.040000
,215,0.000000, -0.038462, -1.000000
,225,0.000000, -0.038462, -1.000000
,232,0.000000, -0.038462, -1.000000
,240,0.000000, 0.000000, -1.000000
,254,0.000000, 0.000000, -1.000000
,264,0.000000, -0.038462, -1.040000
,271,0.000000, -0.038462, -1.000000
,281,0.000000, 0.000000, -1.040000
,295,0.000000, -0.038462, -1.000000
,305,0.000000, 0.000000, -1.000000
,312,0.000000, -0.038462, -1.000000
,326,0.000000, -0.038462, -1.000000
,334,0.000000, 0.000000, -1.000000
,344,0.000000, 0.000000, -1.000000
,357,0.000000, -0.038462, -1.000000
,365,0.000000, -0.038462, -1.000000
,375,0.000000, -0.038462, -1.000000
,389,0.000000, -0.038462, -1.040000
,398,0.000000, -0.038462, -1.000000
,406,0.000000, 0.000000, -1.040000
,414,0.000000, -0.038462, -1.000000
,430,0.000000, -0.038462, -1.000000
,437,0.000000, 0.000000, -1.000000
,445,0.000000, -0.038462, -1.000000
,459,0.000000, -0.038462, -1.000000
,469,0.000000, -0.038462, -1.000000
,477,0.000000, 0.000000, -1.000000
,486,0.000000, 0.000000, -1.000000
,500,0.000000, -0.038462, -1.000000
,510,0.000000, -0.038462, -1.000000
,518,0.000000, -0.038462, -1.000000
,531,0.000000, -0.038462, -1.000000
,539,0.000000, -0.038462, -1.000000
,549,0.000000, -0.038462, -1.000000
,557,0.000000, 0.000000, -1.000000
,570,0.000000, -0.038462, -1.000000
,580,0.000000, -0.038462, -1.000000
,590,0.000000, -0.038462, -1.000000
,598,0.000000, -0.038462, -1.000000
,611,0.000000, -0.038462, -1.000000
,619,0.000000, 0.000000, -1.000000
,629,0.000000, 0.000000, -1.000000
,643,0.000000, -0.038462, -1.000000
,650,0.000000, -0.038462, -1.000000
,660,0.000000, -0.038462, -1.000000
,674,0.000000, -0.038462, -1.000000
,682,0.000000, -0.038462, -1.000000
,691,0.000000, -0.038462, -1.000000
