,time(ms),a_x, a_y, a_z
,64,0.000000, -1.000000, -0.040000
,88,-0.040000, -1.000000, 0.000000
,96,-0.040000, -1.000000, -0.040000
,103,0.000000, -1.000000, -0.040000
,113,-0.040000, -1.000000, -0.040000
,127,0.000000, -1.000000, -0.040000
,135,-0.040000, -1.000000, -0.040000
,144,-0.040000, -1.000000, -0.040000
,158,0.000000, -1.000000, -0.040000
,166,0.000000, -1.000000, -0.040000
,176,-0.040000, -1.000000, -0.040000
,184,-0.040000, -1.038462, -0.040000
,197,0.000000, -1.000000, 0.000000
,207,-0.040000, -1.000000, -0.040000
,215,0.000000, -1.000000, -0.040000
,228,-0.040000, -1.038462, -0.040000
,238,-0.040000, -1.000000, -0.040000
,246,-0.040000, -1.000000, -0.040000
,256,-0.040000, -1.000000, -0.040000
,269,-0.040000, -1.000000, 0.000000
,277,-0.040000, -1.038462, -0.040000
,287,0.000000, -1.000000, -0.040000
,301,-0.040000, -1.000000, -0.040000
,309,-0.040000, -1.000000, 0.000000
,318,-0.040000, -1.038462, -0.040000
,332,0.000000, -1.000000, -0.040000
,340,0.000000, -1.000000, -0.040000
,350,-0.040000, -1.038462, -0.040000
,357,-0.040000, -1.000000, -0.040000
,371,0.000000, -1.000000, 0.000000
,381,-0.040000, -1.000000, 0.000000
,389,0.000000, -1.000000, -0.040000
,402,-0.040000, -1.038462, -0.040000
,412,-0.040000, -1.038462, -0.040000
,420,-0.040000, -1.038462, -0.040000
,430,-0.040000, -1.038462, -0.040000
,443,-0.040000, -1.000000, 0.000000
,451,-0.040000, -1.038462, -0.040000
,461,0.000000, -1.000000, -0.040000
,475,-0.040000, -1.038462, -0.040000
,482,-0.040000, -1.000000, -0.040000
,492,-0.040000, -1.000000, -0.040000
,506,-0.040000, -1.000000, 0.000000
,514,-0.040000, -1.000000, 0.000000
,523,-0.040000, -1.000000, -0.040000
,531,0.000000, -1.000000, -0.040000
,545,-0.040000, -1.000000, -0.040000
,555,-0.040000, -1.000000, -0.040000
,562,-0.040000, -1.038462, -0.040000
,572,-0.040000, -1.000000, -0.040000
,584,-0.040000, -1.000000, 0.000000
,594,-0.040000, -1.000000, -0.040000
,603,0.000000, -1.000000, -0.040000
,617,-0.040000, -1.000000, 0.000000
,625,-0.040000, -1.000000, -0.040000
,635,0.000000, -1.038462, -0.040000
,648,-0.040000, -1.000000, 0.000000
,656,-0.040000, -1.000000, 0.000000
,664,-0.040000, -1.000000, -0.040000
,674,0.000000, -1.000000, -0.040000
,687,-0.040000, -1.000000, -0.040000
,697,-0.040000, -1.038462, -0.040000
,705,-0.040000, -1.000000, -0.040000
,715,-0.040000, -1.038462, -0.040000
,728,-0.040000, -1.000000, 0.000000
,736,-0.040000, -1.000000, -0.040000
,744,0.000000, -1.000000, 0.000000
,760,-0.040000, -1.000000, -0.040000
,768,-0.040000, -1.000000, -0.040000
,777,-0.040000, -1.000000, -0.040000
,789,0.000000, -1.000000, 0.000000
,799,-0.040000, -1.000000, 0.000000
,809,-0.040000, -1.000000, -0.040000
,816,0.000000, -1.000000, -0.040000
,830,-0.040000, -1.000000, -0.040000
,840,-0.040000, -1.000000, -0.040000
,848,-0.040000, -1.000000, -0.040000
,861,-0.040000, -1.000000, 0.000000
,869,-0.040000, -1.000000, 0.000000
,879,-0.040000, -1.000000, 0.000000
,889,0.000000, -1.000000, -0.040000
,902,-0.040000, -1.000000, -0.040000
,910,-0.040000, -1.038462, -0.040000
,920,-0.040000, -1.038462, -0.040000
,934,-0.040000, -1.000000, 0.000000
,941,-0.040000, -1.000000, 0.000000
,949,-0.040000, -1.038462, 0.000000
,959,0.000000, -1.000000, -0.040000
,973,-0.040000, -1.038462, 0.000000
,982,-0.040000, -1.038462, -0.040000
,990,0.000000, -1.000000, -0.040000
,1004,-0.040000, -1.038462, 0.000000
,1010,-0.040000, -1.000000, 0.000000
,1023,-0.040000, -1.000000, 0.000000
,1031,-0.040000, -1.000000, 0.000000
,1039,-0.040000, -1.000000, 0.000000
,1055,0.000000, -1.000000, -0.040000
,1066,0.000000, -1.038462, -0.040000
,1076,-0.040000, -1.038462, -0.040000
,1088,-0.040000, -1.038462, -0.040000
,1096,-0.040000, -1.000000, -0.040000
,1103,-0.040000, -1.038462, -0.040000
,1111,-0.040000, -1.000000, -0.040000
,1125,-0.040000, -1.000000, -0.040000
,1135,-0.040000, -1.000000, 0.000000
,1143,0.000000, -1.000000, -0.040000
,1152,-0.040000, -1.038462, 0.000000
,1164,-0.040000, -1.000000, -0.040000
,1174,-0.040000, -1.000000, -0.040000
,1184,-0.040000, -1.000000, -0.040000
,1197,0.000000, -1.000000, -0.040000
,1205,0.000000, -1.000000, -0.040000
,1215,-0.040000, -1.000000, 0.000000
,1223,-0.040000, -1.038462, -0.040000
,1236,-0.040000, -1.000000, 0.000000
,1244,-0.040000, -1.000000, 0.000000
,1254,-0.040000, -1.000000, -0.040000
,1268,0.000000, -1.000000, -0.040000
,1277,0.000000, -1.000000, -0.040000
,1285,-0.040000, -1.000000, -0.040000
,1295,-0.040000, -1.000000, -0.040000
,1309,0.000000, -1.000000, 0.000000
,1316,0.000000, -1.000000, 0.000000
,1324,-0.040000, -1.000000, 0.000000
,1340,-0.040000, -1.000000, -0.040000
,1348,-0.040000, -1.038462, -0.040000
,1357,0.000000, -1.000000, -0.040000
,1365,-0.040000, -1.000000, -0.040000
,1379,-0.040000, -1.000000, -0.040000
,1389,-0.040000, -1.000000, -0.040000
,1396,-0.040000, -1.000000, -0.040000
,1410,0.000000, -1.000000, -0.040000
,1418,0.000000, -1.000000, -0.040000
,1428,-0.040000, -1.000000, -0.040000
,1437,-0.040000, -1.000000, -0.040000
,1449,-0.040000, -1.000000, -0.040000
,1459,-0.040000, -1.038462, -0.040000
,1469,-0.040000, -1.000000, -0.040000
,1482,0.000000, -1.000000, -0.040000
,1490,0.000000, -1.000000, -0.040000
,1498,-0.040000, -1.000000, -0.040000
,1508,0.000000, -1.038462, 0.000000
,1521,-0.040000, -1.038462, -0.040000
,1529,-0.040000, -1.000000, -0.040000
,1539,-0.040000, -1.000000, 0.000000
,1553,-0.040000, -1.038462, 0.000000
,1562,-0.040000, -1.038462, -0.040000
,1570,0.000000, -1.000000, -0.040000
,1580,-0.040000, -1.000000, -0.040000
,1594,0.000000, -1.000000, -0.040000
,1602,-0.040000, -1.038462, -0.040000
,1609,-0.040000, -1.000000, -0.040000
,1619,0.000000, -1.038462, -0.040000
,1633,-0.040000, -1.000000, 0.000000
,1643,-0.040000, -1.000000, 0.000000
