Cx,Cy,Cz,Ax,Ay,Az,Max,May,Maz,Mix,Miy,Miz
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1,-0.04,-0.04,1
-0.04,0,1.08,-0.04,0,1.02,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1.02,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1.02,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1.02,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1.04,-0.04,-0.02,1.01,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.03,1.01,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1.01,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1.01,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.03,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1.04,-0.04,-0.01,1.01,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1.01,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1.01,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1.01,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.03,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.03,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,0,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,0,1,-0.04,-0.01,1,-0.04,0,1.08,-0.04,-0.04,1
-0.04,-0.04,1,-0.04,-0.02,1,-0.04,0,1.08,-0.04,-0.04,1
